valid,0.9866666666666667
unique@1000,1.0
unique@10000,0.9995
FCD/Test,0.058903983205212285
SNN/Test,0.6082392176447083
Frag/Test,0.9999020152270733
Scaf/Test,0.9365044289398439
FCD/TestSF,0.5208540942048216
SNN/TestSF,0.569763286492309
Frag/TestSF,0.9985700072237651
Scaf/TestSF,0.0890571349774868
IntDiv,0.856610462093092
IntDiv2,0.8506429533825179
Filters,0.9957432432432433
logP,0.04312515981702956
SA,0.0066245252165453156
QED,0.002594244513592927
weight,2.0714744813713186
Novelty,0.8264915902399405
